Location	Bucket	Type	Visitor Count	Percentage
User Drawn Polygon	Total visitors with CEL	CEL Distance	151764	
User Drawn Polygon	Median distance traveled from CEL	CEL Distance	8.738491925261707	
User Drawn Polygon	Lives within 1 mile of location	CEL Distance	4296	2.83%
User Drawn Polygon	Lives between 1 and 2 miles	CEL Distance	7539	4.97%
User Drawn Polygon	Lives between 2 and 3 miles	CEL Distance	8680	5.72%
User Drawn Polygon	Lives between 3 and 5 miles	CEL Distance	20166	13.29%
User Drawn Polygon	Lives between 5 and 10 miles	CEL Distance	42939	28.29%
User Drawn Polygon	Lives between 10 and 25 miles	CEL Distance	37090	24.44%
User Drawn Polygon	Lives between 25 and 50 miles	CEL Distance	4697	3.09%
User Drawn Polygon	Lives between 50 and 100 miles	CEL Distance	2252	1.48%
User Drawn Polygon	Lives >100 miles away	CEL Distance	24105	15.88%
User Drawn Polygon	Total visitors with CDL	CDL Distance	129472	
User Drawn Polygon	Median distance traveled from CDL	CDL Distance	8.60311802903665	
User Drawn Polygon	Works within 1 mile of location	CDL Distance	4598	3.55%
User Drawn Polygon	Works between 1 and 2 miles	CDL Distance	5041	3.89%
User Drawn Polygon	Works between 2 and 3 miles	CDL Distance	6311	4.87%
User Drawn Polygon	Works between 3 and 5 miles	CDL Distance	16598	12.82%
User Drawn Polygon	Works between 5 and 10 miles	CDL Distance	40610	31.37%
User Drawn Polygon	Works between 10 and 25 miles	CDL Distance	29583	22.85%
User Drawn Polygon	Works between 25 and 50 miles	CDL Distance	3823	2.95%
User Drawn Polygon	Works between 50 and 100 miles	CDL Distance	1874	1.45%
User Drawn Polygon	Works >100 miles away	CDL Distance	21034	16.25%
User Drawn Polygon	96815	Top CEL Zip Code	78	0.05%
User Drawn Polygon	90045	Top CEL Zip Code	50	0.03%
User Drawn Polygon	89109	Top CEL Zip Code	38	0.03%
User Drawn Polygon	10036	Top CEL Zip Code	28	0.02%
User Drawn Polygon	10019	Top CEL Zip Code	26	0.02%
User Drawn Polygon	10018	Top CEL Zip Code	17	0.01%
User Drawn Polygon	92626	Top CEL Zip Code	14	0.01%
User Drawn Polygon	10013	Top CEL Zip Code	13	0.01%
User Drawn Polygon	90046	Top CEL Zip Code	13	0.01%
User Drawn Polygon	90069	Top CEL Zip Code	12	0.01%
User Drawn Polygon	89119	Top CEL Zip Code	11	0.01%
User Drawn Polygon	10003	Top CEL Zip Code	10	0.01%
User Drawn Polygon	10012	Top CEL Zip Code	10	0.01%
User Drawn Polygon	10016	Top CEL Zip Code	10	0.01%
User Drawn Polygon	11211	Top CEL Zip Code	10	0.01%
User Drawn Polygon	94109	Top CEL Zip Code	10	0.01%
User Drawn Polygon	10001	Top CEL Zip Code	9	0.01%
User Drawn Polygon	10002	Top CEL Zip Code	9	0.01%
User Drawn Polygon	90028	Top CEL Zip Code	9	0.01%
User Drawn Polygon	10011	Top CEL Zip Code	8	0.01%
User Drawn Polygon	96815	Top CDL Zip Code	64	0.05%
User Drawn Polygon	89109	Top CDL Zip Code	29	0.02%
User Drawn Polygon	10019	Top CDL Zip Code	22	0.02%
User Drawn Polygon	90045	Top CDL Zip Code	20	0.02%
User Drawn Polygon	10036	Top CDL Zip Code	17	0.01%
User Drawn Polygon	94102	Top CDL Zip Code	15	0.01%
User Drawn Polygon	10012	Top CDL Zip Code	14	0.01%
User Drawn Polygon	90046	Top CDL Zip Code	12	0.01%
User Drawn Polygon	10013	Top CDL Zip Code	11	0.01%
User Drawn Polygon	10017	Top CDL Zip Code	11	0.01%
User Drawn Polygon	89119	Top CDL Zip Code	11	0.01%
User Drawn Polygon	10001	Top CDL Zip Code	10	0.01%
User Drawn Polygon	33139	Top CDL Zip Code	10	0.01%
User Drawn Polygon	10018	Top CDL Zip Code	9	0.01%
User Drawn Polygon	90028	Top CDL Zip Code	9	0.01%
User Drawn Polygon	10002	Top CDL Zip Code	8	0.01%
User Drawn Polygon	90036	Top CDL Zip Code	8	0.01%
User Drawn Polygon	92802	Top CDL Zip Code	8	0.01%
User Drawn Polygon	94128	Top CDL Zip Code	8	0.01%
User Drawn Polygon	10011	Top CDL Zip Code	7	0.01%
User Drawn Polygon	20804119524	Top CEL Census Block Group	1030	0.68%
User Drawn Polygon	21203130107	Top CEL Census Block Group	920	0.61%
User Drawn Polygon	21204131402	Top CEL Census Block Group	577	0.38%
User Drawn Polygon	20606113717	Top CEL Census Block Group	407	0.27%
User Drawn Polygon	21203130213	Top CEL Census Block Group	334	0.22%
User Drawn Polygon	21203130411	Top CEL Census Block Group	311	0.20%
User Drawn Polygon	20604112227	Top CEL Census Block Group	306	0.20%
